1,"[134,49,145,151,7,22,52]",134;49;145;151;7;22;52
1,"[127,148,109,5,19,40,17,129,13]",127;148;109;5;19;40;17;129;13
1,"[134,144,59,44,110,27,156,28,37,153,0,30,41,5,51,130]",134;144;59;44;110;27;156;28;37;153;0;30;41;5;51;130
1,"[117,48,43,136,111,36,27]",117;48;43;136;111;36;27
1,"[144,43,42,111,124,120,9,140,119,50]",144;43;42;111;124;120;9;140;119;50
1,"[116,132,122,57,55,39,29,20,10,5,4,103,142]",116;132;122;57;55;39;29;20;10;5;4;103;142
1,"[135,144,132,59,56,47,33,159,25,156,28,4,52]",135;144;132;59;56;47;33;159;25;156;28;4;52
1,"[145,114,115,139,32,41,136,24]",145;114;115;139;32;41;136;24
1,"[138,107,55,36,129,141]",138;107;55;36;129;141
1,"[2,59,136]",2;59;136
1,"[143,49,21,2,133,148,6,4,129]",143;49;21;2;133;148;6;4;129
1,"[32,104,120,39]",32;104;120;39
1,"[143,45,110,35,24,26,39,118,150,43,109,53,141]",143;45;110;35;24;26;39;118;150;43;109;53;141
1,"[143,150,105,131,100]",143;150;105;131;100
1,"[116,148,139,44,56,159,11,29,1,43,105,102,101,130]",116;148;139;44;56;159;11;29;1;43;105;102;101;130
1,"[116,144,115,104,129]",116;144;115;104;129
1,"[116,123,47,111,106,35]",116;123;47;111;106;35
1,"[128,147,110,24,102,157,14,38]",128;147;110;24;102;157;14;38
1,"[115,45,148,42,149,35,104,130,154,38]",115;45;148;42;149;35;104;130;154;38
1,"[116,59,45,42,19,123,107,22,17,141]",116;59;45;42;19;123;107;22;17;141
1,"[134,132,139,159,25,27,154,21,151,42,51,52,142]",134;132;139;159;25;27;154;21;151;42;51;52;142
1,"[125,117,2,7,46,4,35,12]",125;117;2;7;46;4;35;12
1,"[133,128,138,19,124,107,120,33,130,142,11]",133;128;138;19;124;107;120;33;130;142;11
1,"[126,31,17,27,156,154]",126;31;17;27;156;154
1,"[117,56,102,155,119]",117;56;102;155;119
1,"[49,144,132,112,44,31,35,17,23,101,118,119]",49;144;132;112;44;31;35;17;23;101;118;119
1,"[133,45,41,105,18,23,129,100]",133;45;41;105;18;23;129;100
2,"[21,133,106,18,39]",21;133;106;18;39
2,"[116,135,1,41,136,35,9,25,157,28]",116;135;1;41;136;35;9;25;157;28
2,"[57,113,18,54]",57;113;18;54
2,"[128,0,115,108,19,34,140,14,11,37,38]",128;0;115;108;19;34;140;14;11;37;38
2,"[125,2,1,40,23,120,103,54]",125;2;1;40;23;120;103;54
2,"[153,114,150,127,138,6,47,120,159,129,157,156]",153;114;150;127;138;6;47;120;159;129;157;156
2,"[117,20,43]",117;20;43
2,"[146,58,149,137,24,25,12]",146;58;149;137;24;25;12
2,"[43,147,32,35,33,157,11,50]",43;147;32;35;33;157;11;50
2,"[115,112,108]",115;112;108
2,"[112,129,131]",112;129;131
2,"[138,121,58,149,123,137,129,27,3,30,109,40,101]",138;121;58;149;123;137;129;27;3;30;109;40;101
2,"[144,123,56,40,101,142]",144;123;56;40;101;142
2,"[125,121,113,4,8,26]",125;121;113;4;8;26
2,"[152,144,20,145,150,115,148,46,154]",152;144;20;145;150;115;148;46;154
2,"[143,126,59,146,138,136,35,24,118,119,2,43,32,106,54]",143;126;59;146;138;136;35;24;118;119;2;43;32;106;54
2,"[128,54]",128;54
2,"[143,121,47,19,36,105,140,11]",143;121;47;19;36;105;140;11
2,"[117,132,148,19,124,137,33]",117;132;148;19;124;137;33
2,"[49,132,146,45,148,139,111,103,54,131,130,100,141]",49;132;146;45;148;139;111;103;54;131;130;100;141
2,"[7,54,27]",7;54;27
2,"[134,153,48,59,121,158,131,27]",134;153;48;59;121;158;131;27
2,"[58,113,122,23,34]",58;113;122;23;34
2,"[134,58,138,44,24,26,39,2,10,109,104,120,130]",134;58;138;44;24;26;39;2;10;109;104;120;130
2,"[144,132,59,110,47,23,18,159,37,12,38,150,151,107,54]",144;132;59;110;47;23;18;159;37;12;38;150;151;107;54
2,"[143,152,49,57,41,137,106,104,103,156,101]",143;152;49;57;41;137;106;104;103;156;101
2,"[126,121,113,56,110,35,159,33,157,27,155,43,8,131,100]",126;121;113;56;110;35;159;33;157;27;155;43;8;131;100
2,"[21,138,147,136,142,28,100,29]",21;138;147;136;142;28;100;29
2,"[126,109,148,111,25,155,141]",126;109;148;111;25;155;141
3,"[152,44,24,158,26]",152;44;24;158;26
3,"[116,126,159,16,157,13,3,6,5,108,31,120,53,9,103]",116;126;159;16;157;13;3;6;5;108;31;120;53;9;103
3,"[132,113,19,46,17,22,118,38,152,42,32,5,4,53,131]",132;113;19;46;17;22;118;38;152;42;32;5;4;53;131
3,"[49,21,143,126,151,52,9,38,50]",49;21;143;126;151;52;9;38;50
3,"[126,145,132,59,136,107,22,16]",126;145;132;59;136;107;22;16
3,"[116,45,113,47,111,24,34,25,13,154,119,151,32,106,102]",116;45;113;47;111;24;34;25;13;154;119;151;32;106;102
3,"[143,115,121,138,58,122,14,11,29,30,42,108,120,101,100]",143;115;121;138;58;122;14;11;29;30;42;108;120;101;100
3,"[115,147,44,148,123,23,15,39,155,3,150,6,32,40,130]",115;147;44;148;123;23;15;39;155;3;150;6;32;40;130
3,"[116,132,40,52,159,39,156]",116;132;40;52;159;39;156
3,"[135,114,58,136,149,137,17,22,23,159,34,12,40,140,130]",135;114;58;136;149;137;17;22;23;159;34;12;40;140;130
3,"[44,139,157,39,14,37,20,7,42,108,5,106,52,9]",44;139;157;39;14;37;20;7;42;108;5;106;52;9
3,"[153,133,121,41,52,155]",153;133;121;41;52;155
3,"[143,144,128,113,46,15]",143;144;128;113;46;15
3,"[9,118,12]",9;118;12
3,"[116,135,128,139,137,22,18,23,15,26,157,29,3,7,41]",116;135;128;139;137;22;18;23;15;26;157;29;3;7;41
3,"[127,113,139,47,19,51,17,35]",127;113;139;47;19;51;17;35
3,"[143,134,48,146,110,137,55,46,20,2,10,151,106,104,140]",143;134;48;146;110;137;55;46;20;2;10;151;106;104;140
3,"[110,120,142]",110;120;142
3,"[20,147,57,54]",20;147;57;54
3,"[56,4,17,104,34,13]",56;4;17;104;34;13
4,"[3,128,136,12]",3;128;136;12
4,"[153,145,139,47,51,36,18,104,37]",153;145;139;47;51;36;18;104;37
4,"[143,3,59,112,7,123,40,9,53,8,102,50]",143;3;59;112;7;123;40;9;53;8;102;50
4,"[151,46,14]",151;46;14
